cell_angle	gene_angle	expression
-2.923034146882906	-2.602829933166504	-0.53192437
-2.923034146882906	-2.5442583560943604	-0.47677225
-2.923034146882906	-2.4804086685180664	-0.3399414
-2.923034146882906	-2.415600299835205	-0.37454712
-2.923034146882906	-2.3584494590759277	-0.23802471
-2.923034146882906	-2.2947964668273926	-0.27446842
-2.923034146882906	-2.2297050952911377	-0.27370703
-2.923034146882906	-2.168456792831421	-0.24886768
-2.923034146882906	-2.101581573486328	-0.15226987
-2.923034146882906	-2.0458967685699463	-0.17377928
-2.923034146882906	-1.9777483940124512	-0.12886712
-2.923034146882906	-1.9128226041793823	-0.13139865
-2.923034146882906	-1.8519814014434814	-0.057757813
-2.923034146882906	-1.7941845655441284	-0.08166483
-2.923034146882906	-1.7273229360580444	-0.12975132
-2.923034146882906	-1.6651979684829712	-0.09073268
-2.923034146882906	-1.6075050830841064	0.023989705
-2.923034146882906	-1.5443035364151	0.0035661645
-2.923034146882906	-1.4727277755737305	0.14240232
-2.923034146882906	-1.4139424562454224	0.12629694
-2.923034146882906	-1.3455209732055664	0.22759938
-2.923034146882906	-1.2895607948303223	0.16047676
-2.923034146882906	-1.221773386001587	0.17037098
-2.923034146882906	-1.164669156074524	0.21862015
-2.923034146882906	-1.099971055984497	0.22763959
-2.923034146882906	-1.0343983173370361	0.34187976
-2.923034146882906	-0.9739236831665039	0.23381364
-2.923034146882906	-0.9119856357574463	0.28094727
-2.923034146882906	-0.8440308570861816	0.31501833
-2.923034146882906	-0.7903368473052979	0.3421489
-2.923034146882906	-0.7244436740875244	0.36737704
-2.923034146882906	-0.6612889766693115	0.37848967
-2.923034146882906	-0.595792293548584	0.2806106
-2.923034146882906	-0.5361325740814209	0.3952695
-2.923034146882906	-0.47090935707092285	0.49525398
-2.923034146882906	-0.4109535217285156	0.3603027
-2.923034146882906	-0.34644317626953125	0.43587378
-2.923034146882906	-0.2832071781158447	0.41848844
-2.923034146882906	-0.21805453300476074	0.42723337
-2.923034146882906	-0.1574387550354004	0.35031042
-2.923034146882906	-0.08918452262878418	0.55154145
-2.923034146882906	-0.028408050537109375	0.51870656
-2.923034146882906	0.024336814880371094	0.5053459
-2.923034146882906	0.09090685844421387	0.435366
-2.923034146882906	0.15960693359375	0.4212975
-2.923034146882906	0.22107338905334473	0.43887916
-2.923034146882906	0.2856314182281494	0.49035496
-2.923034146882906	0.3498544692993164	0.49921513
-2.923034146882906	0.4086422920227051	0.2576431
-2.923034146882906	0.47290992736816406	0.25548384
-2.923034146882906	0.5360541343688965	0.25080803
-2.923034146882906	0.5956895351409912	0.29467976
-2.923034146882906	0.6555202007293701	0.17094119
-2.923034146882906	0.7196800708770752	0.2511857
-2.923034146882906	0.7912805080413818	0.09422234
-2.923034146882906	0.84893798828125	0.20255594
-2.923034146882906	0.9053328037261963	0.024383727
-2.923034146882906	0.9757659435272217	0.10326555
-2.923034146882906	1.0212981700897217	-0.01855696
-2.923034146882906	1.099482774734497	0.021438414
-2.923034146882906	1.1618053913116455	-0.087420054
-2.923034146882906	1.226590871810913	-0.19556966
-2.923034146882906	1.294706106185913	-0.22598964
-2.923034146882906	1.3497602939605713	-0.24530888
-2.923034146882906	1.414992094039917	-0.35652184
-2.923034146882906	1.4737060070037842	-0.45165306
-2.923034146882906	1.542611837387085	-0.4834451
-2.923034146882906	1.6040899753570557	-0.513312
-2.923034146882906	1.6686322689056396	-0.50712436
-2.923034146882906	1.728276014328003	-0.5384077
-2.923034146882906	1.7889163494110107	-0.486546
