	N	D	A
231	3070	-2.2773787317257734	-1.4960575
232	3070	-2.2737401129526082	-1.0246246
233	3070	-2.2695383746074063	-0.8802173
234	3070	-2.2572607435536094	-1.1695467
235	3070	-2.2558800176798637	-0.97087836
236	3070	-2.2465398132398198	-1.3947098
237	3070	-2.2460768639762696	-1.5884489
238	3070	-2.2447827718828375	-1.4255604
239	3070	-2.2430852912498205	-1.5535274
240	3070	-2.2390378693258017	-0.5337012
241	3070	-2.236964073209548	-0.09598851
242	3070	-2.2324537020219792	-1.091423
243	3070	-2.229283447123634	-1.7650223
244	3070	-2.2255175849856337	-1.1305985
245	3070	-2.2252928786179456	-0.9892869
246	3070	-2.221318553946066	-0.34886074
247	3070	-2.2177124228405187	-0.25449276
248	3070	-2.211485619880489	-2.5949907
249	3070	-2.2092548000374177	-0.8368523
250	3070	-2.2081177316708036	-1.7181251
251	3070	-2.199419158666206	-1.2903746
252	3070	-2.198731503034968	-1.0997422
253	3070	-2.1962516110734955	-2.6269784
254	3070	-2.1950874696505336	-0.6037717
255	3070	-2.1896782729922126	-2.4372442
256	3070	-2.186943894301069	-1.0224051
257	3070	-2.182880228543241	-0.32543874
258	3070	-2.1695548702087786	-0.23617792
259	3070	-2.1628705325964686	-1.7341142
260	3070	-2.161806561481994	-0.8055551
261	3070	-2.143621589533074	-0.783829
262	3070	-2.1364634734346746	-1.043725
263	3070	-2.1303964015070984	-1.4955364
264	3070	-2.1108198744618933	-1.6066217
265	3070	-2.0960785952804324	2.2174485
266	3070	-2.0935093622330117	-0.012783766
267	3070	-2.091135055191296	-1.0547068
268	3070	-2.056302860894019	-0.73626256
269	3070	-2.055217231334466	-1.3255745
270	3070	-2.04610173326211	-0.50414586
271	3070	-2.0417321419675503	0.6233165
272	3070	-2.0386024966537266	-0.6150043
273	3070	-2.0367669434333355	-0.0030303001
274	3070	-2.032326962192271	-2.657201
275	3070	-2.0189772381070954	0.21482682
276	3070	-2.0152140832747296	-0.15652299
277	3070	-2.011266831659198	-1.4753624
278	3070	-2.0053405396246307	-1.286644
279	3070	-2.0005540232623127	-2.848669
280	3070	-1.9967150638721727	2.4932425
281	3070	-1.9932226396032868	-0.21010804
282	3070	-1.98881514602984	-0.57117724
283	3070	-1.98054432731554	-0.8868146
284	3070	-1.9759581515701967	-1.41497
285	3070	-1.9699858353398383	-1.4728911
286	3070	-1.961005702549222	-1.7321403
287	3070	-1.9572858646070133	0.28654885
288	3070	-1.952591396636278	-1.6738474
289	3070	-1.9517413026669523	-0.12983298
290	3070	-1.9479050505824473	-1.2016808
291	3070	-1.9436978976259753	-0.778198
292	3070	-1.9427855356270491	0.56933355
293	3070	-1.938053165377427	-0.035671234
294	3070	-1.9373059490222233	0.44967747
295	3070	-1.9363935870232973	0.53161
296	3070	-1.9315637537708223	-0.49072528
297	3070	-1.927705843241239	-1.4106637
298	3070	-1.9238533473229251	-0.78297997
299	3070	-1.9237396404862637	-0.9823084
300	3070	-1.9220665256039604	2.4372137
301	3070	-1.9214276014741487	0.3909564
302	3070	-1.9205558490597445	-1.1169825
303	3070	-1.9149544337013529	-0.5507586
304	3070	-1.9138119507234692	-0.30791497
305	3070	-1.9127127846357423	2.8814676
306	3070	-1.9106958419378197	-0.287493
307	3070	-1.9058199844895534	-2.0732758
308	3070	-1.9049401101582448	0.3293121
309	3070	-1.9017021726190295	0.3379495
310	3070	-1.8974950196625575	-0.9173987
311	3070	-1.8966530476101362	-0.9267492
312	3070	-1.8867280651529763	0.404454
313	3070	-1.884047832574529	0.6393981
314	3070	-1.880937138400149	-0.69675756
315	3070	-1.8806799443648436	1.6658914
316	3070	-1.8780294921483789	-0.6301594
317	3070	-1.8740145578919774	-0.04134822
318	3070	-1.8740118505863426	0.06641412
319	3070	-1.8699021606327233	0.17437768
320	3070	-1.8686026539280214	0.094243765
321	3070	-1.864955913237952	-0.17899704
322	3070	-1.8599744708699286	0.19467807
323	3070	-1.8571697022322806	-0.6689024
324	3070	-1.8561300968685193	0.3417337
325	3070	-1.8524319173713888	0.6086335
326	3070	-1.849015297660277	0.95733714
327	3070	-1.8460751637408892	0.7990062
328	3070	-1.8452602647448157	-0.16236663
329	3070	-1.8411911843757185	-0.52249455
330	3070	-1.8399349945611732	-0.18641663
331	3070	-1.8328391464923746	-0.04027915
332	3070	-1.8193026183183978	-0.42207694
333	3070	-1.8120551611340507	-0.42435026
334	3070	-1.8079914953762228	-1.4817674
335	3070	-1.8048185331722426	-0.33963728
336	3070	-1.7899473033203117	-0.3617022
337	3070	-1.788858966455124	-1.813724
338	3070	-1.7879953359576242	-1.6054643
339	3070	-1.7872670707418643	0.8178363
340	3070	-1.7837096711377431	-0.4568522
341	3070	-1.7802037103406831	-0.81830335
342	3070	-1.7796135177122978	0.676353
343	3070	-1.7770984307775728	-0.4422419
344	3070	-1.7713616501374414	-1.1425979
345	3070	-1.768456711191306	-0.007504225
346	3070	-1.7658360393368242	-1.039216
347	3070	-1.7655950891353274	-1.781192
348	3070	-1.7589567757188092	0.5481529
349	3070	-1.758442387648198	-0.6673701
350	3070	-1.751655172421766	0.20401978
351	3070	-1.7507752980904576	-1.1197996
352	3070	-1.7463678045170108	-0.22050881
353	3070	-1.7437660838019724	-0.7948053
354	3070	-1.7432083788412045	-0.99498487
355	3070	-1.7385247400930086	0.5828073
356	3070	-1.7282857101822124	-0.3637972
357	3070	-1.7267885701661707	-0.66564393
358	3070	-1.726125280285646	-0.7985678
359	3070	-1.7235262668762423	0.6666093
360	3070	-1.7226870021294558	-0.7253866
361	3070	-1.71971979515372	-0.64412546
362	3070	-1.7073988472097663	0.9240029
363	3070	-1.7069223614180422	0.13848615
364	3070	-1.701291165697668	0.080845594
365	3070	-1.7010366789679972	0.08569908
366	3070	-1.6945256089163143	2.3892133
367	3070	-1.688309635178824	2.1745298
368	3070	-1.6827623659331286	0.7825663
369	3070	-1.6787799193443445	-0.096506834
370	3070	-1.6758939315376526	0.47360778
371	3070	-1.6753930799952155	1.7238686
372	3070	-1.674867862702065	0.5957048
373	3070	-1.665966241774858	1.3161118
374	3070	-1.6645205405658772	-0.008575678
375	3070	-1.6619540148240912	-2.899137
376	3070	-1.6574653020816006	-1.4085673
377	3070	-1.6572730833815301	-0.3200395
378	3070	-1.6552750918230512	-1.8740382
379	3070	-1.6537183910830437	0.35567188
380	3070	-1.6454990111758052	0.48167968
381	3070	-1.6426184379803828	-0.12884903
382	3070	-1.6420959279928673	-2.8740952
383	3070	-1.6309770237507626	0.9982431
384	3070	-1.6297776873545484	1.1233046
385	3070	-1.6252537796388054	0.31446743
386	3070	-1.624836854571047	0.3507874
387	3070	-1.624530929034315	0.24535656
388	3070	-1.62155289283604	0.721931
389	3070	-1.6141213388685267	2.2129123
390	3070	-1.611208278005487	-0.7315271
391	3070	-1.6074559523956606	1.2889764
392	3070	-1.5969516065326546	-0.1954236
393	3070	-1.5779300771425824	-0.9794862
394	3070	-1.5762325965095656	-0.8191745
395	3070	-1.5729053178844021	-1.7288125
396	3070	-1.5562012421177147	1.1994488
397	3070	-1.5536103506252157	1.0821536
398	3070	-1.5509165815185941	0.845557
399	3070	-1.5484827137529131	0.61159897
400	3070	-1.5420691067040828	0.34652734
401	3070	-1.5392535088438957	-0.13680577
402	3070	-1.5378511245250717	-0.29450417
403	3070	-1.5370605912797115	0.5118265
404	3070	-1.5321955630539843	0.18665648
405	3070	-1.5219890208108058	-1.0546651
406	3070	-1.505341798462449	-1.9216881
407	3070	-1.482270139842723	-2.4659407
408	3070	-1.4763357258912515	-0.8233578
409	3070	-1.4734118358056725	-0.1568613
410	3070	-1.470493360331363	0.5952368
411	3070	-1.4688337819772335	0.682744
412	3070	-1.4672743739315914	0.4085281
413	3070	-1.4651301878688334	0.63064194
414	3070	-1.4483448929331022	1.5330684
415	3070	-1.4474244090172719	-0.4489746
416	3070	-1.4439996673892557	-0.5414696
417	3070	-1.4394649304509735	0.8478339
418	3070	-1.4294127046289782	1.7885716
419	3070	-1.4260637675587362	-2.8754156
420	3070	-1.4247805046878435	1.0446289
421	3070	-1.4222627104474836	0.7659583
422	3070	-1.417538462114766	-0.461267
423	3070	-1.4150260824856757	0.61385536
424	3070	-1.4051633680581161	-2.8492544
425	3070	-1.4017169679850217	0.6365781
426	3070	-1.3934461492707217	0.6934912
427	3070	-1.3911720125374938	-0.076051235
428	3070	-1.3761627100981884	-0.2626896
429	3070	-1.3724293356278054	0.10930753
430	3070	-1.3710675608935032	0.5332029
431	3070	-1.3666763111538651	2.0254085
432	3070	-1.3623825244170797	1.7757585
433	3070	-1.3523302985950847	1.4460156
434	3070	-1.3518213251357432	0.68430376
435	3070	-1.3466341275394753	1.5024989
436	3070	-1.346054764133629	0.59410906
437	3070	-1.3400986917370792	1.4219487
438	3070	-1.3390753302071265	-0.09772205
439	3070	-1.3307774384364788	0.35573673
440	3070	-1.3180016631458793	0.91161656
441	3070	-1.3159765985310525	0.89488816
